TRANSACTION_ID,PRODUCT_ID,CUSTOMER_ID,STORE_ID,T_DATE,QUANTITY
7374,P-1007,C-8,S-3,2023-12-30,8
8353,P-1005,C-47,S-9,2023-12-30,2
8392,P-1065,C-9,S-9,2023-12-30,9
7835,P-1006,C-27,S-9,2023-12-30,6
8574,P-1015,C-2,S-7,2023-12-30,5
9416,P-1023,C-11,S-1,2023-12-30,8
8992,P-1097,C-26,S-3,2023-12-30,6
9170,P-1064,C-24,S-6,2023-12-30,8
9923,P-1036,C-45,S-7,2023-12-30,3
114,P-1094,C-34,S-6,2023-12-29,2
189,P-1024,C-8,S-6,2023-12-29,6
1142,P-1046,C-15,S-6,2023-12-29,8
1717,P-1008,C-18,S-5,2023-12-29,8
2749,P-1073,C-33,S-3,2023-12-29,5
2782,P-1047,C-45,S-6,2023-12-29,3
2954,P-1087,C-16,S-3,2023-12-29,6
4455,P-1057,C-1,S-3,2023-12-29,5
3707,P-1020,C-20,S-5,2023-12-29,2
4043,P-1076,C-49,S-10,2023-12-29,5
4233,P-1030,C-31,S-7,2023-12-29,4
4685,P-1019,C-4,S-3,2023-12-29,7
5541,P-1001,C-42,S-5,2023-12-29,4
5631,P-1033,C-6,S-10,2023-12-29,9
5205,P-1055,C-16,S-8,2023-12-29,7
6374,P-1071,C-20,S-3,2023-12-29,9
7385,P-1026,C-40,S-7,2023-12-29,9
6883,P-1069,C-28,S-3,2023-12-29,6
7716,P-1044,C-43,S-10,2023-12-29,6
7733,P-1015,C-3,S-2,2023-12-29,8
8062,P-1079,C-32,S-1,2023-12-29,2
8917,P-1037,C-31,S-8,2023-12-29,5
9721,P-1034,C-36,S-2,2023-12-29,9
1367,P-1027,C-3,S-2,2023-12-28,8
2591,P-1044,C-23,S-9,2023-12-28,4
1728,P-1024,C-37,S-9,2023-12-28,6
2310,P-1003,C-49,S-8,2023-12-28,6
2648,P-1015,C-13,S-8,2023-12-28,9
2957,P-1060,C-7,S-7,2023-12-28,10
4360,P-1002,C-15,S-4,2023-12-28,9
3978,P-1062,C-49,S-2,2023-12-28,5
4114,P-1024,C-35,S-3,2023-12-28,6
5104,P-1045,C-44,S-6,2023-12-28,3
6576,P-1092,C-27,S-7,2023-12-28,1
5744,P-1048,C-34,S-5,2023-12-28,8
7440,P-1064,C-31,S-1,2023-12-28,4
6718,P-1013,C-6,S-6,2023-12-28,10
6965,P-1088,C-26,S-7,2023-12-28,1
7170,P-1059,C-26,S-4,2023-12-28,5
8126,P-1035,C-30,S-1,2023-12-28,10
8136,P-1055,C-11,S-10,2023-12-28,10
8730,P-1077,C-23,S-4,2023-12-28,6
9092,P-1019,C-3,S-6,2023-12-28,7
9113,P-1074,C-7,S-8,2023-12-28,4
9994,P-1020,C-6,S-4,2023-12-28,8
1241,P-1043,C-8,S-4,2023-12-27,7
1732,P-1049,C-36,S-2,2023-12-27,2
1853,P-1061,C-49,S-8,2023-12-27,8
1971,P-1056,C-2,S-2,2023-12-27,9
2173,P-1006,C-2,S-7,2023-12-27,3
3571,P-1098,C-18,S-3,2023-12-27,1
3272,P-1061,C-1,S-4,2023-12-27,1
3403,P-1022,C-43,S-2,2023-12-27,4
4375,P-1026,C-31,S-5,2023-12-27,5
3813,P-1097,C-8,S-1,2023-12-27,3
3938,P-1042,C-39,S-2,2023-12-27,5
4226,P-1042,C-41,S-7,2023-12-27,5
4984,P-1099,C-39,S-6,2023-12-27,10
5392,P-1010,C-15,S-7,2023-12-27,7
6495,P-1082,C-46,S-6,2023-12-27,3
5690,P-1053,C-16,S-2,2023-12-27,4
7470,P-1083,C-29,S-9,2023-12-27,5
6716,P-1088,C-49,S-9,2023-12-27,8
6955,P-1092,C-6,S-2,2023-12-27,4
7312,P-1031,C-24,S-2,2023-12-27,6
8443,P-1078,C-6,S-3,2023-12-27,5
7779,P-1051,C-17,S-2,2023-12-27,8
7806,P-1058,C-4,S-5,2023-12-27,9
7809,P-1061,C-31,S-4,2023-12-27,10
8046,P-1009,C-16,S-4,2023-12-27,2
9394,P-1012,C-26,S-4,2023-12-27,1
8828,P-1030,C-37,S-7,2023-12-27,2
9025,P-1010,C-27,S-7,2023-12-27,2
9955,P-1074,C-26,S-8,2023-12-27,2
603,P-1079,C-20,S-7,2023-12-26,6
343,P-1082,C-37,S-5,2023-12-26,2
484,P-1034,C-46,S-6,2023-12-26,2
866,P-1021,C-19,S-6,2023-12-26,9
878,P-1019,C-5,S-10,2023-12-26,1
997,P-1073,C-13,S-8,2023-12-26,10
1252,P-1047,C-48,S-6,2023-12-26,8
2562,P-1067,C-50,S-9,2023-12-26,1
2580,P-1044,C-7,S-4,2023-12-26,3
1818,P-1024,C-46,S-2,2023-12-26,6
2233,P-1050,C-22,S-4,2023-12-26,5
2687,P-1096,C-32,S-4,2023-12-26,2
2930,P-1004,C-29,S-4,2023-12-26,4
3054,P-1085,C-34,S-2,2023-12-26,4
3275,P-1071,C-14,S-7,2023-12-26,9
3404,P-1035,C-10,S-3,2023-12-26,7
4044,P-1057,C-2,S-9,2023-12-26,8
4220,P-1072,C-6,S-10,2023-12-26,6
5561,P-1068,C-15,S-10,2023-12-26,7
4756,P-1018,C-1,S-2,2023-12-26,9
4759,P-1085,C-21,S-6,2023-12-26,7
4831,P-1078,C-26,S-9,2023-12-26,1
5067,P-1087,C-34,S-1,2023-12-26,8
5310,P-1053,C-12,S-2,2023-12-26,9
6545,P-1001,C-45,S-2,2023-12-26,2
7389,P-1044,C-42,S-3,2023-12-26,5
8167,P-1056,C-24,S-6,2023-12-26,5
9634,P-1052,C-20,S-8,2023-12-26,4
82,P-1083,C-20,S-10,2023-12-25,8
438,P-1089,C-4,S-9,2023-12-25,7
1105,P-1069,C-37,S-8,2023-12-25,4
1409,P-1064,C-43,S-10,2023-12-25,7
2391,P-1089,C-47,S-3,2023-12-25,8
2438,P-1077,C-30,S-9,2023-12-25,5
2590,P-1005,C-48,S-8,2023-12-25,1
1788,P-1064,C-1,S-1,2023-12-25,4
2330,P-1083,C-35,S-5,2023-12-25,10
2873,P-1069,C-48,S-1,2023-12-25,7
4363,P-1090,C-23,S-6,2023-12-25,5
3899,P-1008,C-27,S-5,2023-12-25,3
4294,P-1061,C-19,S-3,2023-12-25,4
7496,P-1068,C-1,S-7,2023-12-25,10
6811,P-1017,C-46,S-6,2023-12-25,5
7175,P-1060,C-44,S-9,2023-12-25,8
8374,P-1081,C-1,S-2,2023-12-25,5
8477,P-1027,C-8,S-4,2023-12-25,7
7896,P-1022,C-32,S-10,2023-12-25,7
8926,P-1059,C-6,S-8,2023-12-25,8
9316,P-1072,C-45,S-3,2023-12-25,6
9938,P-1047,C-13,S-2,2023-12-25,6
722,P-1094,C-20,S-9,2023-12-24,9
2389,P-1079,C-12,S-8,2023-12-24,4
1793,P-1075,C-28,S-9,2023-12-24,9
1869,P-1077,C-47,S-2,2023-12-24,2
3102,P-1058,C-15,S-1,2023-12-24,7
4467,P-1053,C-44,S-3,2023-12-24,2
5147,P-1032,C-9,S-6,2023-12-24,6
6380,P-1014,C-2,S-8,2023-12-24,9
5866,P-1079,C-2,S-3,2023-12-24,3
5910,P-1087,C-24,S-9,2023-12-24,6
6169,P-1010,C-30,S-4,2023-12-24,7
6219,P-1009,C-10,S-7,2023-12-24,9
7401,P-1009,C-27,S-9,2023-12-24,7
7408,P-1002,C-5,S-8,2023-12-24,1
7593,P-1026,C-46,S-8,2023-12-24,1
7119,P-1057,C-44,S-1,2023-12-24,8
8011,P-1080,C-17,S-1,2023-12-24,6
9420,P-1013,C-31,S-3,2023-12-24,7
9480,P-1030,C-7,S-8,2023-12-24,10
9575,P-1026,C-5,S-2,2023-12-24,8
8736,P-1030,C-13,S-5,2023-12-24,7
8819,P-1052,C-3,S-4,2023-12-24,5
9065,P-1042,C-39,S-9,2023-12-24,3
9108,P-1039,C-27,S-3,2023-12-24,3
9221,P-1016,C-31,S-1,2023-12-24,8
9251,P-1019,C-26,S-2,2023-12-24,5
9928,P-1095,C-11,S-8,2023-12-24,4
9983,P-1096,C-3,S-6,2023-12-24,6
140,P-1064,C-18,S-9,2023-12-23,8
295,P-1018,C-43,S-5,2023-12-23,6
372,P-1013,C-34,S-4,2023-12-23,10
448,P-1026,C-3,S-7,2023-12-23,4
1167,P-1064,C-36,S-1,2023-12-23,10
1347,P-1061,C-49,S-9,2023-12-23,10
2284,P-1004,C-40,S-9,2023-12-23,7
2327,P-1049,C-5,S-1,2023-12-23,8
3582,P-1039,C-3,S-9,2023-12-23,6
2985,P-1063,C-19,S-9,2023-12-23,2
3091,P-1064,C-31,S-8,2023-12-23,7
3994,P-1053,C-40,S-8,2023-12-23,6
5402,P-1054,C-6,S-1,2023-12-23,8
5423,P-1092,C-31,S-10,2023-12-23,6
5523,P-1030,C-35,S-9,2023-12-23,10
5213,P-1032,C-12,S-8,2023-12-23,9
5259,P-1043,C-26,S-10,2023-12-23,9
6342,P-1082,C-45,S-2,2023-12-23,8
6385,P-1033,C-14,S-6,2023-12-23,1
5898,P-1074,C-27,S-7,2023-12-23,2
6094,P-1014,C-42,S-5,2023-12-23,5
6177,P-1008,C-12,S-6,2023-12-23,2
6620,P-1054,C-7,S-9,2023-12-23,1
7526,P-1097,C-26,S-7,2023-12-23,1
7352,P-1055,C-22,S-9,2023-12-23,7
8401,P-1073,C-21,S-3,2023-12-23,5
8482,P-1010,C-39,S-4,2023-12-23,7
8553,P-1037,C-6,S-8,2023-12-23,2
7858,P-1035,C-31,S-6,2023-12-23,7
8071,P-1025,C-5,S-2,2023-12-23,1
9390,P-1021,C-35,S-5,2023-12-23,6
9407,P-1039,C-35,S-1,2023-12-23,2
9068,P-1096,C-35,S-6,2023-12-23,2
9070,P-1030,C-43,S-7,2023-12-23,7
9169,P-1073,C-8,S-6,2023-12-23,5
9320,P-1093,C-28,S-4,2023-12-23,6
9820,P-1062,C-6,S-4,2023-12-23,8
330,P-1023,C-5,S-7,2023-12-22,6
385,P-1057,C-9,S-5,2023-12-22,7
1659,P-1091,C-43,S-6,2023-12-22,5
983,P-1077,C-26,S-7,2023-12-22,7
1092,P-1001,C-9,S-6,2023-12-22,8
2414,P-1042,C-38,S-4,2023-12-22,8
2604,P-1039,C-14,S-5,2023-12-22,3
1762,P-1060,C-47,S-9,2023-12-22,2
1805,P-1054,C-34,S-7,2023-12-22,4
2050,P-1005,C-2,S-9,2023-12-22,3
3563,P-1030,C-39,S-7,2023-12-22,6
2920,P-1019,C-40,S-6,2023-12-22,4
3290,P-1045,C-26,S-7,2023-12-22,2
3919,P-1068,C-49,S-2,2023-12-22,3
3930,P-1009,C-20,S-5,2023-12-22,2
3993,P-1094,C-48,S-10,2023-12-22,8
4854,P-1038,C-28,S-5,2023-12-22,10
4965,P-1042,C-16,S-4,2023-12-22,9
5065,P-1061,C-41,S-2,2023-12-22,9
5133,P-1053,C-29,S-5,2023-12-22,9
6444,P-1057,C-26,S-8,2023-12-22,4
5935,P-1049,C-22,S-9,2023-12-22,9
5998,P-1088,C-28,S-1,2023-12-22,2
6244,P-1040,C-39,S-6,2023-12-22,3
6730,P-1078,C-27,S-1,2023-12-22,5
6841,P-1088,C-42,S-10,2023-12-22,2
6936,P-1043,C-34,S-1,2023-12-22,10
7027,P-1031,C-27,S-4,2023-12-22,7
7136,P-1049,C-4,S-10,2023-12-22,2
8318,P-1054,C-22,S-5,2023-12-22,7
9439,P-1041,C-16,S-2,2023-12-22,9
8784,P-1039,C-13,S-9,2023-12-22,6
285,P-1034,C-41,S-2,2023-12-21,5
1483,P-1087,C-30,S-8,2023-12-21,6
1610,P-1086,C-43,S-3,2023-12-21,7
1282,P-1049,C-40,S-7,2023-12-21,8
2634,P-1071,C-36,S-5,2023-12-21,5
1808,P-1060,C-28,S-2,2023-12-21,4
1983,P-1002,C-23,S-10,2023-12-21,3
2241,P-1029,C-26,S-8,2023-12-21,2
2653,P-1065,C-4,S-7,2023-12-21,9
3659,P-1052,C-19,S-7,2023-12-21,6
2955,P-1031,C-12,S-5,2023-12-21,8
3059,P-1077,C-8,S-4,2023-12-21,7
3768,P-1023,C-10,S-1,2023-12-21,1
3866,P-1085,C-39,S-3,2023-12-21,3
4046,P-1042,C-30,S-5,2023-12-21,2
4725,P-1071,C-42,S-1,2023-12-21,10
4976,P-1034,C-27,S-7,2023-12-21,9
5095,P-1042,C-7,S-5,2023-12-21,5
5153,P-1013,C-47,S-2,2023-12-21,5
6502,P-1095,C-14,S-1,2023-12-21,8
6575,P-1094,C-25,S-3,2023-12-21,2
7393,P-1085,C-45,S-6,2023-12-21,6
7596,P-1064,C-28,S-5,2023-12-21,1
6747,P-1070,C-28,S-4,2023-12-21,5
8345,P-1003,C-20,S-9,2023-12-21,9
8032,P-1034,C-11,S-5,2023-12-21,2
8750,P-1051,C-13,S-1,2023-12-21,3
9061,P-1066,C-22,S-9,2023-12-21,4
9275,P-1033,C-8,S-3,2023-12-21,8
9698,P-1071,C-3,S-6,2023-12-21,9
9752,P-1046,C-21,S-6,2023-12-21,1
9881,P-1066,C-23,S-7,2023-12-21,3
9977,P-1051,C-6,S-4,2023-12-21,7
464,P-1016,C-5,S-4,2023-12-20,5
965,P-1006,C-18,S-8,2023-12-20,2
1121,P-1072,C-31,S-6,2023-12-20,3
1258,P-1092,C-9,S-8,2023-12-20,5
2531,P-1007,C-1,S-9,2023-12-20,9
2061,P-1022,C-16,S-5,2023-12-20,2
2754,P-1091,C-36,S-9,2023-12-20,7
3493,P-1046,C-29,S-3,2023-12-20,8
3614,P-1032,C-45,S-2,2023-12-20,4
3361,P-1009,C-9,S-2,2023-12-20,7
4599,P-1013,C-35,S-2,2023-12-20,9
4139,P-1008,C-27,S-6,2023-12-20,7
4619,P-1017,C-10,S-9,2023-12-20,7
4664,P-1065,C-19,S-4,2023-12-20,3
5412,P-1082,C-41,S-10,2023-12-20,4
4814,P-1070,C-14,S-9,2023-12-20,8
5019,P-1064,C-15,S-1,2023-12-20,1
5200,P-1061,C-41,S-6,2023-12-20,10
6567,P-1022,C-49,S-1,2023-12-20,2
5710,P-1026,C-7,S-5,2023-12-20,8
5893,P-1057,C-22,S-1,2023-12-20,9
6075,P-1076,C-33,S-3,2023-12-20,1
7258,P-1072,C-15,S-10,2023-12-20,2
7359,P-1073,C-10,S-8,2023-12-20,8
7641,P-1052,C-13,S-2,2023-12-20,7
7668,P-1030,C-15,S-10,2023-12-20,9
8255,P-1053,C-35,S-9,2023-12-20,1
9552,P-1073,C-16,S-6,2023-12-20,1
8798,P-1020,C-20,S-4,2023-12-20,1
8810,P-1034,C-26,S-6,2023-12-20,9
9233,P-1079,C-28,S-9,2023-12-20,4
9888,P-1084,C-8,S-10,2023-12-20,3
9949,P-1025,C-31,S-2,2023-12-20,2
538,P-1059,C-26,S-6,2023-12-19,3
602,P-1022,C-5,S-5,2023-12-19,7
467,P-1070,C-6,S-4,2023-12-19,10
1042,P-1042,C-35,S-5,2023-12-19,6
2439,P-1002,C-20,S-8,2023-12-19,4
1930,P-1044,C-47,S-8,2023-12-19,7
2673,P-1070,C-16,S-3,2023-12-19,2
2735,P-1040,C-23,S-3,2023-12-19,2
3662,P-1019,C-36,S-4,2023-12-19,6
3055,P-1082,C-35,S-6,2023-12-19,9
3989,P-1061,C-33,S-7,2023-12-19,8
4077,P-1071,C-5,S-8,2023-12-19,6
4344,P-1025,C-17,S-5,2023-12-19,6
4781,P-1074,C-10,S-5,2023-12-19,2
5091,P-1062,C-8,S-5,2023-12-19,7
5346,P-1088,C-13,S-5,2023-12-19,5
6548,P-1022,C-49,S-8,2023-12-19,3
5754,P-1050,C-45,S-10,2023-12-19,7
6586,P-1069,C-11,S-3,2023-12-19,8
6731,P-1016,C-20,S-8,2023-12-19,1
6903,P-1029,C-48,S-1,2023-12-19,3
6912,P-1033,C-45,S-4,2023-12-19,6
7849,P-1017,C-31,S-9,2023-12-19,9
8137,P-1041,C-25,S-2,2023-12-19,10
8219,P-1098,C-16,S-7,2023-12-19,4
8261,P-1054,C-12,S-5,2023-12-19,10
8994,P-1076,C-48,S-9,2023-12-19,2
9175,P-1055,C-12,S-4,2023-12-19,8
9217,P-1007,C-12,S-6,2023-12-19,5
9762,P-1097,C-5,S-9,2023-12-19,5
406,P-1032,C-13,S-9,2023-12-18,5
1088,P-1050,C-17,S-2,2023-12-18,8
2517,P-1002,C-46,S-6,2023-12-18,2
2927,P-1005,C-13,S-5,2023-12-18,9
4796,P-1006,C-27,S-4,2023-12-18,3
5174,P-1081,C-33,S-4,2023-12-18,2
5334,P-1099,C-17,S-1,2023-12-18,6
5919,P-1088,C-5,S-7,2023-12-18,4
5933,P-1047,C-11,S-6,2023-12-18,7
6200,P-1054,C-42,S-7,2023-12-18,2
6220,P-1084,C-47,S-6,2023-12-18,7
7621,P-1017,C-2,S-6,2023-12-18,7
6974,P-1078,C-27,S-2,2023-12-18,2
8018,P-1068,C-40,S-2,2023-12-18,2
8705,P-1078,C-23,S-6,2023-12-18,3
9089,P-1040,C-37,S-3,2023-12-18,7
9307,P-1091,C-43,S-5,2023-12-18,4
589,P-1065,C-30,S-10,2023-12-17,4
654,P-1081,C-17,S-2,2023-12-17,10
60,P-1080,C-41,S-4,2023-12-17,2
87,P-1022,C-22,S-8,2023-12-17,9
360,P-1028,C-16,S-7,2023-12-17,10
453,P-1092,C-4,S-5,2023-12-17,3
1552,P-1012,C-37,S-2,2023-12-17,2
1621,P-1050,C-43,S-9,2023-12-17,3
1984,P-1010,C-47,S-8,2023-12-17,2
2002,P-1044,C-39,S-7,2023-12-17,9
4495,P-1021,C-12,S-5,2023-12-17,4
4299,P-1013,C-37,S-8,2023-12-17,2
5082,P-1037,C-29,S-9,2023-12-17,6
5254,P-1050,C-5,S-9,2023-12-17,7
6640,P-1053,C-35,S-6,2023-12-17,7
7452,P-1053,C-32,S-6,2023-12-17,5
7266,P-1067,C-8,S-4,2023-12-17,3
7347,P-1081,C-44,S-3,2023-12-17,3
7798,P-1080,C-13,S-6,2023-12-17,8
9122,P-1000,C-7,S-4,2023-12-17,1
9184,P-1012,C-9,S-3,2023-12-17,7
9302,P-1047,C-40,S-8,2023-12-17,4
610,P-1023,C-32,S-4,2023-12-16,9
966,P-1004,C-35,S-7,2023-12-16,2
1286,P-1044,C-28,S-2,2023-12-16,8
1288,P-1031,C-45,S-2,2023-12-16,9
1322,P-1048,C-14,S-6,2023-12-16,6
1384,P-1071,C-26,S-3,2023-12-16,3
1447,P-1020,C-17,S-3,2023-12-16,5
2523,P-1063,C-22,S-2,2023-12-16,9
2610,P-1070,C-17,S-4,2023-12-16,2
1857,P-1064,C-35,S-8,2023-12-16,6
2744,P-1028,C-26,S-5,2023-12-16,5
3031,P-1029,C-28,S-2,2023-12-16,9
3204,P-1029,C-35,S-7,2023-12-16,9
3798,P-1077,C-22,S-2,2023-12-16,8
4245,P-1030,C-14,S-4,2023-12-16,4
4862,P-1067,C-35,S-6,2023-12-16,4
4971,P-1092,C-36,S-8,2023-12-16,4
5000,P-1073,C-5,S-1,2023-12-16,3
5154,P-1006,C-30,S-9,2023-12-16,4
5679,P-1057,C-36,S-5,2023-12-16,10
6025,P-1028,C-10,S-6,2023-12-16,9
6729,P-1061,C-20,S-3,2023-12-16,1
7063,P-1046,C-31,S-7,2023-12-16,6
7948,P-1024,C-11,S-3,2023-12-16,5
8138,P-1060,C-4,S-1,2023-12-16,6
8728,P-1085,C-22,S-7,2023-12-16,5
8751,P-1020,C-47,S-3,2023-12-16,8
8897,P-1020,C-12,S-5,2023-12-16,8
9018,P-1007,C-18,S-7,2023-12-16,6
9758,P-1010,C-14,S-5,2023-12-16,4
9804,P-1085,C-8,S-5,2023-12-16,2
101,P-1054,C-17,S-2,2023-12-15,6
185,P-1071,C-24,S-3,2023-12-15,10
353,P-1093,C-4,S-4,2023-12-15,4
493,P-1007,C-24,S-2,2023-12-15,1
691,P-1077,C-37,S-6,2023-12-15,9
1575,P-1050,C-7,S-7,2023-12-15,10
857,P-1013,C-31,S-4,2023-12-15,7
920,P-1016,C-37,S-9,2023-12-15,5
1195,P-1088,C-28,S-8,2023-12-15,3
1421,P-1039,C-12,S-9,2023-12-15,10
2464,P-1015,C-7,S-3,2023-12-15,6
2540,P-1084,C-28,S-6,2023-12-15,4
3561,P-1059,C-32,S-4,2023-12-15,4
3410,P-1007,C-45,S-3,2023-12-15,7
4583,P-1094,C-26,S-3,2023-12-15,2
3752,P-1066,C-21,S-2,2023-12-15,10
4037,P-1024,C-7,S-8,2023-12-15,9
4234,P-1031,C-10,S-9,2023-12-15,4
4724,P-1095,C-39,S-3,2023-12-15,8
4942,P-1070,C-44,S-6,2023-12-15,5
5227,P-1060,C-6,S-7,2023-12-15,3
5365,P-1048,C-38,S-2,2023-12-15,10
6197,P-1033,C-2,S-1,2023-12-15,5
6693,P-1005,C-15,S-2,2023-12-15,9
7390,P-1012,C-7,S-6,2023-12-15,3
7467,P-1047,C-17,S-2,2023-12-15,5
7580,P-1089,C-7,S-6,2023-12-15,9
7624,P-1040,C-48,S-1,2023-12-15,3
6726,P-1089,C-22,S-9,2023-12-15,5
8376,P-1087,C-45,S-4,2023-12-15,4
8431,P-1006,C-47,S-3,2023-12-15,3
9376,P-1037,C-14,S-6,2023-12-15,3
9185,P-1044,C-8,S-2,2023-12-15,7
9685,P-1011,C-38,S-5,2023-12-15,8
9979,P-1033,C-35,S-1,2023-12-15,9
108,P-1033,C-31,S-2,2023-12-14,2
922,P-1016,C-9,S-4,2023-12-14,6
951,P-1060,C-40,S-6,2023-12-14,4
2401,P-1038,C-16,S-6,2023-12-14,8
1756,P-1092,C-39,S-8,2023-12-14,4
1968,P-1011,C-11,S-3,2023-12-14,2
2340,P-1030,C-15,S-5,2023-12-14,2
2666,P-1039,C-22,S-7,2023-12-14,5
3465,P-1058,C-19,S-5,2023-12-14,3
2949,P-1048,C-14,S-5,2023-12-14,6
3138,P-1031,C-10,S-6,2023-12-14,9
5220,P-1066,C-44,S-5,2023-12-14,3
7153,P-1026,C-25,S-3,2023-12-14,3
8529,P-1037,C-20,S-10,2023-12-14,8
7788,P-1001,C-16,S-7,2023-12-14,9
8718,P-1071,C-26,S-6,2023-12-14,5
8984,P-1082,C-30,S-7,2023-12-14,2
9707,P-1030,C-21,S-1,2023-12-14,6
9878,P-1049,C-16,S-5,2023-12-14,2
9934,P-1013,C-24,S-8,2023-12-14,3
238,P-1038,C-49,S-7,2023-12-13,6
1498,P-1062,C-11,S-1,2023-12-13,7
1700,P-1003,C-33,S-10,2023-12-13,4
1196,P-1022,C-34,S-3,2023-12-13,9
2475,P-1017,C-43,S-7,2023-12-13,9
2500,P-1045,C-4,S-8,2023-12-13,8
2197,P-1095,C-37,S-9,2023-12-13,5
2345,P-1026,C-20,S-10,2023-12-13,8
2678,P-1097,C-13,S-7,2023-12-13,9
2680,P-1092,C-16,S-4,2023-12-13,8
3439,P-1052,C-34,S-9,2023-12-13,5
3448,P-1014,C-46,S-2,2023-12-13,4
3643,P-1014,C-35,S-6,2023-12-13,8
3092,P-1075,C-37,S-9,2023-12-13,1
4409,P-1068,C-44,S-4,2023-12-13,8
3701,P-1051,C-30,S-2,2023-12-13,9
4093,P-1037,C-9,S-8,2023-12-13,5
4270,P-1004,C-31,S-9,2023-12-13,7
4684,P-1025,C-3,S-6,2023-12-13,5
5403,P-1062,C-17,S-1,2023-12-13,4
5574,P-1010,C-10,S-5,2023-12-13,4
4762,P-1024,C-42,S-8,2023-12-13,3
5303,P-1093,C-37,S-3,2023-12-13,7
5719,P-1063,C-4,S-6,2023-12-13,6
5732,P-1011,C-22,S-8,2023-12-13,3
6280,P-1053,C-19,S-5,2023-12-13,8
6284,P-1091,C-35,S-1,2023-12-13,7
6671,P-1052,C-28,S-9,2023-12-13,2
6831,P-1066,C-11,S-6,2023-12-13,4
6872,P-1099,C-7,S-8,2023-12-13,9
7023,P-1090,C-33,S-6,2023-12-13,7
7111,P-1058,C-14,S-1,2023-12-13,8
7667,P-1080,C-48,S-7,2023-12-13,8
7954,P-1033,C-26,S-5,2023-12-13,6
9826,P-1080,C-40,S-3,2023-12-13,2
661,P-1094,C-18,S-7,2023-12-12,7
250,P-1018,C-21,S-6,2023-12-12,4
1019,P-1028,C-49,S-2,2023-12-12,7
1313,P-1027,C-2,S-4,2023-12-12,4
2155,P-1064,C-24,S-10,2023-12-12,5
3677,P-1070,C-16,S-2,2023-12-12,6
4826,P-1063,C-40,S-5,2023-12-12,9
4841,P-1001,C-40,S-9,2023-12-12,6
4978,P-1051,C-7,S-4,2023-12-12,6
7431,P-1073,C-42,S-7,2023-12-12,9
7015,P-1026,C-14,S-9,2023-12-12,5
7090,P-1036,C-34,S-5,2023-12-12,3
7130,P-1033,C-18,S-8,2023-12-12,9
7239,P-1066,C-13,S-8,2023-12-12,10
8592,P-1073,C-40,S-4,2023-12-12,2
9359,P-1084,C-35,S-5,2023-12-12,1
9024,P-1057,C-23,S-5,2023-12-12,4
9149,P-1063,C-2,S-7,2023-12-12,8
